Data,Vendite,Ore Lavorative,Vendite per Ora
2024-01-01,1674.8153422754867,9.265141346989218,180.7652230604913
2024-01-02,1311.5737100981569,6.355882298922209,206.3558839534466
2024-01-03,2268.449405225292,6.995523782307799,324.2715593308924
2024-01-04,2349.7209129335215,8.284620052409014,283.62446292878167
2024-01-05,1150.5393809381283,6.713122082085882,171.3866315657164
2024-01-06,2001.54120077768,9.17558233583936,218.13778434091984
2024-01-07,3019.9076801679557,8.373387605228759,360.65542675728705
2024-01-08,1623.6131259593444,9.34053540428308,173.8244175183834
2024-01-09,4119.2913869940585,9.010833152679739,457.1487804952885
2024-01-10,2152.327210329184,9.363568601895247,229.86185095002548
2024-01-11,4350.777972955044,6.348380426425585,685.3366812808856
2024-01-12,1444.913861519192,6.800435884253161,212.47371287846144
2024-01-13,4841.880934885628,7.42462893730098,652.13776685327
2024-01-14,3010.7612434151383,8.376300018515291,359.43808564163623
2024-01-15,1855.4044566009402,9.20212525556244,201.6278202124447
2024-01-16,1293.4460037846259,6.146843846868537,210.42441226867382
2024-01-17,1687.2605963797728,7.857994080928855,214.71899558625398
2024-01-18,3233.4598984441104,9.870360579267814,327.59288502953245
2024-01-19,3515.3120675935234,7.018741392128881,500.8465009888733
2024-01-20,4277.564204133013,9.484957320830624,450.98402232540724
2024-01-21,1832.65103871028,9.205110310131346,199.09061129807694
2024-01-22,4502.868178301198,9.033199115384882,498.4798985148178
2024-01-23,2901.0622916980237,9.053178142154366,320.44683603317054
2024-01-24,1935.5583235290505,8.780501019920925,220.43825507652886
2024-01-25,4348.918317824332,8.081382862330997,538.1403643299147
2024-01-26,4552.024613047735,9.250481863683603,492.0851346045544
2024-01-27,4872.84159293933,6.945586000554735,701.5738618095208
2024-01-28,2509.1982105454417,6.1657157151768835,406.9597637090307
2024-01-29,4888.991684513371,9.659836851514527,506.1153474602261
2024-01-30,4749.485267721784,9.648691371209082,492.241391604033
